,log(cond) (uS/cm),conc1,conc2,conc3,conc4,conc5,conc6,smiles1,smiles2,smiles3,smiles4,smiles5,smiles6,temperature ( C )
2914,3.00352,15.59437,36.75737,47.64826,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-0.2
9148,3.722484,6.30483,59.44636,34.24881,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,29.4
3412,3.320493,9.706696,90.2933,0.0,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,O,O,O,O,49.2
108,4.045613459783636,8.298217174073173,25.02877437056898,17.06765728994625,2.887565611820686,46.7177855535909,0,[Li+].F[P-](F)(F)(F)(F)F,COC=O,C1COC(=O)O1,CCOC(=O)OC,COC(=O)OC,O,10.0
6610,3.773606,6.163201,31.14673,62.69007,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,CC1COC(=O)O1,O,O,O,19.5
12855,3.578639,7.400525,33.30413,26.09673,33.19862,0.0,0,[Li+].F[As-](F)(F)(F)(F)F,C1COC(=O)O1,CC1COC(=O)O1,C1=CC=CC=C1,O,O,0.0
8777,3.222634,16.57992,52.92717,30.49291,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,19.5
3426,3.572765,12.00088,87.99912,0.0,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,O,O,O,O,39.3
9715,3.0027,5.853253,31.2496,62.89714,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,C1COC(=O)O1,CC1COC(=O)O1,O,O,O,-10.0
11815,3.21237,2.021599,45.38755,52.59085,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,O1CCOCC1,O,O,O,-29.5
10768,2.761193,5.822399,21.1616,73.016,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,C1COC(=O)O1,CC1COC(=O)O1,O,O,O,-19.8
11256,3.519576,6.624238,76.78621,16.58955,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,19.5
7883,2.424394,15.21878,61.86744,22.91378,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-29.5
13365,3.964731,7.825431,30.63648,61.53809,0.0,0.0,0,[Li+].F[As-](F)(F)(F)(F)F,C(Cl)Cl,C1CCS(=O)(=O)C1,O,O,O,60.0
9168,2.824417,0.598884,99.40112,0.0,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,O,O,O,O,9.7
8290,3.175018,4.248201,78.74011,17.01169,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-10.0
12685,3.901458,7.220045,18.95362,14.85184,25.05482,33.91968,0,[Li+].F[As-](F)(F)(F)(F)F,C1COC(=O)O1,CC1COC(=O)O1,CC1CCCO1,C(Cl)Cl,O,0.0
10769,3.002369,5.816335,21.16296,73.0207,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,C1COC(=O)O1,CC1COC(=O)O1,O,O,O,-10.0
2498,2.955495,7.695453,40.19723,52.10732,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-39.4
5113,4.098156,10.84652,28.89663,24.92624,32.59139,2.739209,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,CC1COC(=O)O1,CCOC(=O)OC,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,O,50.0
5416,3.317443,8.560073,30.5772,26.3759,34.48683,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,CC1COC(=O)O1,CCOC(=O)OC,O,O,-20.0
9024,3.259058,1.90612,62.23719,35.85669,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-0.2
